"Data Import Template"
"Table:","Property Setter"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Property Setter","","","","","","",""
"Column Labels:","ID","DocType or Field","DocType","Property","Set Value","Field Name","Property Type","Default Value"
"","""Supplier-naming_series-reqd""","DocField","Supplier","reqd","0","naming_series","Check",""
"","""Supplier-naming_series-hidden""","DocField","Supplier","hidden","1","naming_series","Check",""
"","""Quotation-read_only_onload""","DocType","Quotation","read_only_onload","","","Check",""
"","""Quotation-items-idx""","DocField","Quotation","idx","36","items","Int",""
"","""Quotation-quotation_details-idx""","DocField","Quotation","idx","37","quotation_details","Int",""
"","""Quotation-sec_break23-idx""","DocField","Quotation","idx","38","sec_break23","Int",""
"","""Quotation-net_total-idx""","DocField","Quotation","idx","39","net_total","Int",""
"","""Quotation-column_break_28-idx""","DocField","Quotation","idx","40","column_break_28","Int",""
"","""Quotation-net_total_export-idx""","DocField","Quotation","idx","41","net_total_export","Int",""
"","""Quotation-taxes-idx""","DocField","Quotation","idx","42","taxes","Int",""
"","""Quotation-taxes_and_charges-idx""","DocField","Quotation","idx","43","taxes_and_charges","Int",""
"","""Quotation-column_break_34-idx""","DocField","Quotation","idx","44","column_break_34","Int",""
"","""Quotation-shipping_rule-idx""","DocField","Quotation","idx","45","shipping_rule","Int",""
"","""Quotation-section_break_36-idx""","DocField","Quotation","idx","46","section_break_36","Int",""
"","""Quotation-other_charges-idx""","DocField","Quotation","idx","47","other_charges","Int",""
"","""Quotation-other_charges_calculation-idx""","DocField","Quotation","idx","48","other_charges_calculation","Int",""
"","""Quotation-section_break_39-idx""","DocField","Quotation","idx","49","section_break_39","Int",""
"","""Quotation-other_charges_total-idx""","DocField","Quotation","idx","50","other_charges_total","Int",""
"","""Quotation-column_break_42-idx""","DocField","Quotation","idx","51","column_break_42","Int",""
"","""Quotation-other_charges_total_export-idx""","DocField","Quotation","idx","52","other_charges_total_export","Int",""
"","""Quotation-discount_amount-idx""","DocField","Quotation","idx","53","discount_amount","Int",""
"","""Quotation-totals-idx""","DocField","Quotation","idx","54","totals","Int",""
"","""Quotation-grand_total-idx""","DocField","Quotation","idx","55","grand_total","Int",""
"","""Quotation-rounded_total-idx""","DocField","Quotation","idx","56","rounded_total","Int",""
"","""Quotation-in_words-idx""","DocField","Quotation","idx","57","in_words","Int",""
"","""Quotation-column_break3-idx""","DocField","Quotation","idx","58","column_break3","Int",""
"","""Quotation-grand_total_export-idx""","DocField","Quotation","idx","59","grand_total_export","Int",""
"","""Quotation-rounded_total_export-idx""","DocField","Quotation","idx","60","rounded_total_export","Int",""
"","""Quotation-in_words_export-idx""","DocField","Quotation","idx","61","in_words_export","Int",""
"","""Quotation-fold-idx""","DocField","Quotation","idx","62","fold","Int",""
"","""Quotation-terms_section_break-idx""","DocField","Quotation","idx","63","terms_section_break","Int",""
"","""Quotation-tc_name-idx""","DocField","Quotation","idx","64","tc_name","Int",""
"","""Quotation-terms-idx""","DocField","Quotation","idx","65","terms","Int",""
"","""Quotation-contact_section-idx""","DocField","Quotation","idx","66","contact_section","Int",""
"","""Quotation-territory-idx""","DocField","Quotation","idx","67","territory","Int",""
"","""Quotation-customer_group-idx""","DocField","Quotation","idx","68","customer_group","Int",""
"","""Quotation-shipping_address_name-idx""","DocField","Quotation","idx","69","shipping_address_name","Int",""
"","""Quotation-shipping_address-idx""","DocField","Quotation","idx","70","shipping_address","Int",""
"","""Quotation-col_break98-idx""","DocField","Quotation","idx","71","col_break98","Int",""
"","""Quotation-customer_address-idx""","DocField","Quotation","idx","72","customer_address","Int",""
"","""Quotation-contact_person-idx""","DocField","Quotation","idx","73","contact_person","Int",""
"","""Quotation-more_info-idx""","DocField","Quotation","idx","74","more_info","Int",""
"","""Quotation-campaign-idx""","DocField","Quotation","idx","75","campaign","Int",""
"","""Quotation-source-idx""","DocField","Quotation","idx","76","source","Int",""
"","""Quotation-status-idx""","DocField","Quotation","idx","77","status","Int",""
"","""Quotation-order_lost_reason-idx""","DocField","Quotation","idx","78","order_lost_reason","Int",""
"","""Quotation-column_break4-idx""","DocField","Quotation","idx","79","column_break4","Int",""
"","""Quotation-letter_head-idx""","DocField","Quotation","idx","80","letter_head","Int",""
"","""Quotation-select_print_heading-idx""","DocField","Quotation","idx","81","select_print_heading","Int",""
"","""Quotation-fiscal_year-idx""","DocField","Quotation","idx","82","fiscal_year","Int",""
"","""Quotation-enq_det-idx""","DocField","Quotation","idx","83","enq_det","Int",""
"","""Quotation-communication_history-idx""","DocField","Quotation","idx","84","communication_history","Int",""
"","""Quotation-communication_html-idx""","DocField","Quotation","idx","85","communication_html","Int",""
"","""Quotation-communications-idx""","DocField","Quotation","idx","86","communications","Int",""
"","""Quotation-quotation_detail-previous_field""","DocField","Quotation","previous_field","ignore_pricing_rule","quotation_detail","Data",""
"","""Quotation-crop_year-previous_field""","DocField","Quotation","previous_field","ignore_pricing_rule","crop_year","Data",""
"","""Quotation-_idx""","DocType","Quotation","_idx","[""customer_section"", ""column_break0"", ""naming_series"", ""quotation_to"", ""customer"", ""lead"", ""customer_name"", ""address_display"", ""contact_display"", ""contact_mobile"", ""contact_email"", ""column_break1"", ""amended_from"", ""company"", ""transaction_date"", ""order_type"", ""section_break0"", ""currency"", ""conversion_rate"", ""column_break2"", ""selling_price_list"", ""price_list_currency"", ""plc_conversion_rate"", ""ignore_pricing_rule"", ""quotation_detail"", ""quote_expires_on"", ""empty_drums_return"", ""palletization"", ""crop_year"", ""cb"", ""sale"", ""loadability"", ""fcl_detail"", ""refer_info"", ""other_info"", ""items"", ""quotation_details"", ""sec_break23"", ""net_total"", ""column_break_28"", ""net_total_export"", ""taxes"", ""taxes_and_charges"", ""column_break_34"", ""shipping_rule"", ""section_break_36"", ""other_charges"", ""other_charges_calculation"", ""section_break_39"", ""other_charges_total"", ""column_break_42"", ""other_charges_total_export"", ""discount_amount"", ""totals"", ""grand_total"", ""rounded_total"", ""in_words"", ""column_break3"", ""grand_total_export"", ""rounded_total_export"", ""in_words_export"", ""fold"", ""terms_section_break"", ""tc_name"", ""terms"", ""contact_section"", ""territory"", ""customer_group"", ""shipping_address_name"", ""shipping_address"", ""col_break98"", ""customer_address"", ""contact_person"", ""more_info"", ""campaign"", ""source"", ""status"", ""order_lost_reason"", ""column_break4"", ""letter_head"", ""select_print_heading"", ""fiscal_year"", ""enq_det"", ""communication_history"", ""communication_html"", ""communications""]","","Text",""
"","""Contact-phone-label""","DocField","Contact","label","Direct Number","phone","Data",""
"","""Contact-sb00-idx""","DocField","Contact","idx","13","sb00","Int",""
"","""Contact-communication_html-idx""","DocField","Contact","idx","14","communication_html","Int",""
"","""Contact-contact_details-idx""","DocField","Contact","idx","15","contact_details","Int",""
"","""Contact-customer-idx""","DocField","Contact","idx","16","customer","Int",""
"","""Contact-customer_name-idx""","DocField","Contact","idx","17","customer_name","Int",""
"","""Contact-column_break1-idx""","DocField","Contact","idx","18","column_break1","Int",""
"","""Contact-supplier-idx""","DocField","Contact","idx","19","supplier","Int",""
"","""Contact-supplier_name-idx""","DocField","Contact","idx","20","supplier_name","Int",""
"","""Contact-sales_partner-idx""","DocField","Contact","idx","21","sales_partner","Int",""
"","""Contact-is_primary_contact-idx""","DocField","Contact","idx","22","is_primary_contact","Int",""
"","""Contact-more_info-idx""","DocField","Contact","idx","23","more_info","Int",""
"","""Contact-mobile_no-idx""","DocField","Contact","idx","24","mobile_no","Int",""
"","""Contact-department-idx""","DocField","Contact","idx","25","department","Int",""
"","""Contact-designation-idx""","DocField","Contact","idx","26","designation","Int",""
"","""Contact-unsubscribed-idx""","DocField","Contact","idx","27","unsubscribed","Int",""
"","""Contact-communications-idx""","DocField","Contact","idx","28","communications","Int",""
"","""Contact-cb00-idx""","DocField","Contact","idx","6","cb00","Int",""
"","""Contact-status-idx""","DocField","Contact","idx","7","status","Int",""
"","""Contact-email_id-idx""","DocField","Contact","idx","8","email_id","Int",""
"","""Contact-phone-idx""","DocField","Contact","idx","9","phone","Int",""
"","""Contact-_idx""","DocType","Contact","_idx","[""contact_section"", ""first_name"", ""last_name"", ""work_telephone"", ""work_fax"", ""cb00"", ""status"", ""email_id"", ""phone"", ""home_number"", ""alternate_number"", ""others"", ""sb00"", ""communication_html"", ""contact_details"", ""customer"", ""customer_name"", ""column_break1"", ""supplier"", ""supplier_name"", ""sales_partner"", ""is_primary_contact"", ""more_info"", ""mobile_no"", ""department"", ""designation"", ""unsubscribed"", ""communications""]","","Text",""
"","""Delivery Note-transporter_info-label""","DocField","Delivery Note","label","Logistics Info","transporter_info","Data",""
"","""Delivery Note-transporter_name-label""","DocField","Delivery Note","label","Shipping Line Name","transporter_name","Data",""
"","""Delivery Note-lr_no-label""","DocField","Delivery Note","label","Container No","lr_no","Data",""
"","""Delivery Note-lr_date-label""","DocField","Delivery Note","label","Container Dispatch Date","lr_date","Data",""
"","""Delivery Note-transporter_name-idx""","DocField","Delivery Note","idx","63","transporter_name","Int",""
"","""Delivery Note-col_break34-idx""","DocField","Delivery Note","idx","69","col_break34","Int",""
"","""Delivery Note-lr_no-idx""","DocField","Delivery Note","idx","72","lr_no","Int",""
"","""Delivery Note-lr_date-idx""","DocField","Delivery Note","idx","73","lr_date","Int",""
"","""Delivery Note-lr_no-description""","DocField","Delivery Note","description","","lr_no","Text",""
"","""Delivery Note-contact_info-idx""","DocField","Delivery Note","idx","80","contact_info","Int",""
"","""Delivery Note-territory-idx""","DocField","Delivery Note","idx","81","territory","Int",""
"","""Delivery Note-customer_group-idx""","DocField","Delivery Note","idx","82","customer_group","Int",""
"","""Delivery Note-col_break21-idx""","DocField","Delivery Note","idx","83","col_break21","Int",""
"","""Delivery Note-contact_person-idx""","DocField","Delivery Note","idx","84","contact_person","Int",""
"","""Delivery Note-more_info-idx""","DocField","Delivery Note","idx","85","more_info","Int",""
"","""Delivery Note-project_name-idx""","DocField","Delivery Note","idx","86","project_name","Int",""
"","""Delivery Note-campaign-idx""","DocField","Delivery Note","idx","87","campaign","Int",""
"","""Delivery Note-source-idx""","DocField","Delivery Note","idx","88","source","Int",""
"","""Delivery Note-column_break5-idx""","DocField","Delivery Note","idx","89","column_break5","Int",""
"","""Delivery Note-posting_time-idx""","DocField","Delivery Note","idx","90","posting_time","Int",""
"","""Delivery Note-fiscal_year-idx""","DocField","Delivery Note","idx","91","fiscal_year","Int",""
"","""Delivery Note-letter_head-idx""","DocField","Delivery Note","idx","92","letter_head","Int",""
"","""Delivery Note-select_print_heading-idx""","DocField","Delivery Note","idx","93","select_print_heading","Int",""
"","""Delivery Note-print_without_amount-idx""","DocField","Delivery Note","idx","94","print_without_amount","Int",""
"","""Delivery Note-section_break_83-idx""","DocField","Delivery Note","idx","95","section_break_83","Int",""
"","""Delivery Note-status-idx""","DocField","Delivery Note","idx","96","status","Int",""
"","""Delivery Note-per_installed-idx""","DocField","Delivery Note","idx","97","per_installed","Int",""
"","""Delivery Note-installation_status-idx""","DocField","Delivery Note","idx","98","installation_status","Int",""
"","""Delivery Note-column_break_89-idx""","DocField","Delivery Note","idx","99","column_break_89","Int",""
"","""Delivery Note-to_warehouse-idx""","DocField","Delivery Note","idx","100","to_warehouse","Int",""
"","""Delivery Note-excise_page-idx""","DocField","Delivery Note","idx","101","excise_page","Int",""
"","""Delivery Note-instructions-idx""","DocField","Delivery Note","idx","102","instructions","Int",""
"","""Delivery Note-sales_team_section_break-idx""","DocField","Delivery Note","idx","103","sales_team_section_break","Int",""
"","""Delivery Note-sales_partner-idx""","DocField","Delivery Note","idx","104","sales_partner","Int",""
"","""Delivery Note-column_break7-idx""","DocField","Delivery Note","idx","105","column_break7","Int",""
"","""Delivery Note-commission_rate-idx""","DocField","Delivery Note","idx","106","commission_rate","Int",""
"","""Delivery Note-total_commission-idx""","DocField","Delivery Note","idx","107","total_commission","Int",""
"","""Delivery Note-section_break1-idx""","DocField","Delivery Note","idx","108","section_break1","Int",""
"","""Delivery Note-sales_team-idx""","DocField","Delivery Note","idx","109","sales_team","Int",""
"","""Delivery Note-_idx""","DocType","Delivery Note","_idx","[""delivery_to_section"", ""column_break0"", ""naming_series"", ""customer"", ""customer_name"", ""customer_address"", ""address_display"", ""shipping_address_name"", ""shipping_address"", ""contact_display"", ""contact_mobile"", ""contact_email"", ""column_break1"", ""amended_from"", ""company"", ""posting_date"", ""po_no"", ""po_date"", ""sec_break25"", ""currency"", ""conversion_rate"", ""col_break23"", ""selling_price_list"", ""price_list_currency"", ""plc_conversion_rate"", ""ignore_pricing_rule"", ""items"", ""delivery_note_details"", ""packing_list"", ""packing_details"", ""sales_bom_help"", ""section_break_31"", ""net_total"", ""column_break_33"", ""net_total_export"", ""taxes"", ""taxes_and_charges"", ""column_break_39"", ""shipping_rule"", ""section_break_41"", ""other_charges"", ""other_charges_calculation"", ""section_break_44"", ""other_charges_total"", ""column_break_47"", ""other_charges_total_export"", ""discount_amount"", ""totals"", ""grand_total"", ""rounded_total"", ""in_words"", ""column_break3"", ""grand_total_export"", ""rounded_total_export"", ""in_words_export"", ""fold"", ""terms_section_break"", ""tc_name"", ""terms"", ""transporter_info"", ""pol"", ""etd"", ""transporter_name"", ""tsp"", ""feeder_vessel"", ""mother_vessel"", ""eta_mother_vessel"", ""etd_mother_vessel"", ""col_break34"", ""pod"", ""eta"", ""lr_no"", ""lr_date"", ""mother_vessel_i"", ""eta_mother_vessel_i"", ""etd_mother_vessel_i"", ""mother_vessel_ii"", ""eta_mother_vessel_ii"", ""etd_mother_vessel_ii"", ""contact_info"", ""territory"", ""customer_group"", ""col_break21"", ""contact_person"", ""more_info"", ""project_name"", ""campaign"", ""source"", ""column_break5"", ""posting_time"", ""fiscal_year"", ""letter_head"", ""select_print_heading"", ""print_without_amount"", ""section_break_83"", ""status"", ""per_installed"", ""installation_status"", ""column_break_89"", ""to_warehouse"", ""excise_page"", ""instructions"", ""sales_team_section_break"", ""sales_partner"", ""column_break7"", ""commission_rate"", ""total_commission"", ""section_break1"", ""sales_team""]","","Text",""
"","""Delivery Note-read_only_onload""","DocType","Delivery Note","read_only_onload","","","Check",""
"","""Sales Order-order_type-options""","DocField","Sales Order","options","Sales
Maintenance
Shopping Cart","order_type","Text",""
"","""Sales Order-column_break1-idx""","DocField","Sales Order","idx","13","column_break1","Int",""
"","""Sales Order-amended_from-idx""","DocField","Sales Order","idx","14","amended_from","Int",""
"","""Sales Order-company-idx""","DocField","Sales Order","idx","15","company","Int",""
"","""Sales Order-transaction_date-idx""","DocField","Sales Order","idx","16","transaction_date","Int",""
"","""Sales Order-delivery_date-idx""","DocField","Sales Order","idx","17","delivery_date","Int",""
"","""Sales Order-po_no-idx""","DocField","Sales Order","idx","18","po_no","Int",""
"","""Sales Order-po_date-idx""","DocField","Sales Order","idx","19","po_date","Int",""
"","""Sales Order-shipping_address_name-idx""","DocField","Sales Order","idx","20","shipping_address_name","Int",""
"","""Sales Order-shipping_address-idx""","DocField","Sales Order","idx","21","shipping_address","Int",""
"","""Sales Order-section_break_31-idx""","DocField","Sales Order","idx","22","section_break_31","Int",""
"","""Sales Order-column_break_38-idx""","DocField","Sales Order","idx","25","column_break_38","Int",""
"","""Sales Order-sec_break45-idx""","DocField","Sales Order","idx","29","sec_break45","Int",""
"","""Sales Order-currency-idx""","DocField","Sales Order","idx","30","currency","Int",""
"","""Sales Order-conversion_rate-idx""","DocField","Sales Order","idx","31","conversion_rate","Int",""
"","""Sales Order-column_break2-idx""","DocField","Sales Order","idx","32","column_break2","Int",""
"","""Sales Order-selling_price_list-idx""","DocField","Sales Order","idx","33","selling_price_list","Int",""
"","""Sales Order-price_list_currency-idx""","DocField","Sales Order","idx","34","price_list_currency","Int",""
"","""Sales Order-plc_conversion_rate-idx""","DocField","Sales Order","idx","35","plc_conversion_rate","Int",""
"","""Sales Order-ignore_pricing_rule-idx""","DocField","Sales Order","idx","36","ignore_pricing_rule","Int",""
"","""Sales Order-items-idx""","DocField","Sales Order","idx","37","items","Int",""
"","""Sales Order-sales_order_details-idx""","DocField","Sales Order","idx","38","sales_order_details","Int",""
"","""Sales Order-net_total_export-idx""","DocField","Sales Order","idx","42","net_total_export","Int",""
"","""Sales Order-net_total-idx""","DocField","Sales Order","idx","43","net_total","Int",""
"","""Sales Order-taxes-idx""","DocField","Sales Order","idx","44","taxes","Int",""
"","""Sales Order-taxes_and_charges-idx""","DocField","Sales Order","idx","45","taxes_and_charges","Int",""
"","""Sales Order-shipping_rule-idx""","DocField","Sales Order","idx","46","shipping_rule","Int",""
"","""Sales Order-section_break_40-idx""","DocField","Sales Order","idx","47","section_break_40","Int",""
"","""Sales Order-other_charges-idx""","DocField","Sales Order","idx","48","other_charges","Int",""
"","""Sales Order-other_charges_calculation-idx""","DocField","Sales Order","idx","49","other_charges_calculation","Int",""
"","""Sales Order-section_break_43-idx""","DocField","Sales Order","idx","50","section_break_43","Int",""
"","""Sales Order-other_charges_total_export-idx""","DocField","Sales Order","idx","51","other_charges_total_export","Int",""
"","""Sales Order-column_break_46-idx""","DocField","Sales Order","idx","52","column_break_46","Int",""
"","""Sales Order-other_charges_total-idx""","DocField","Sales Order","idx","53","other_charges_total","Int",""
"","""Sales Order-discount_amount-idx""","DocField","Sales Order","idx","54","discount_amount","Int",""
"","""Sales Order-totals-idx""","DocField","Sales Order","idx","55","totals","Int",""
"","""Sales Order-grand_total-idx""","DocField","Sales Order","idx","56","grand_total","Int",""
"","""Sales Order-rounded_total-idx""","DocField","Sales Order","idx","57","rounded_total","Int",""
"","""Sales Order-in_words-idx""","DocField","Sales Order","idx","58","in_words","Int",""
"","""Sales Order-advance_paid-idx""","DocField","Sales Order","idx","59","advance_paid","Int",""
"","""Sales Order-column_break3-idx""","DocField","Sales Order","idx","60","column_break3","Int",""
"","""Sales Order-grand_total_export-idx""","DocField","Sales Order","idx","61","grand_total_export","Int",""
"","""Sales Order-rounded_total_export-idx""","DocField","Sales Order","idx","62","rounded_total_export","Int",""
"","""Sales Order-in_words_export-idx""","DocField","Sales Order","idx","63","in_words_export","Int",""
"","""Sales Order-view_details-idx""","DocField","Sales Order","idx","64","view_details","Int",""
"","""Sales Order-packing_list-idx""","DocField","Sales Order","idx","65","packing_list","Int",""
"","""Sales Order-packing_details-idx""","DocField","Sales Order","idx","66","packing_details","Int",""
"","""Sales Order-terms_section_break-idx""","DocField","Sales Order","idx","67","terms_section_break","Int",""
"","""Sales Order-tc_name-idx""","DocField","Sales Order","idx","68","tc_name","Int",""
"","""Sales Order-terms-idx""","DocField","Sales Order","idx","69","terms","Int",""
"","""Sales Order-contact_info-idx""","DocField","Sales Order","idx","70","contact_info","Int",""
"","""Sales Order-col_break45-idx""","DocField","Sales Order","idx","71","col_break45","Int",""
"","""Sales Order-territory-idx""","DocField","Sales Order","idx","72","territory","Int",""
"","""Sales Order-customer_group-idx""","DocField","Sales Order","idx","73","customer_group","Int",""
"","""Sales Order-col_break46-idx""","DocField","Sales Order","idx","74","col_break46","Int",""
"","""Sales Order-customer_address-idx""","DocField","Sales Order","idx","75","customer_address","Int",""
"","""Sales Order-contact_person-idx""","DocField","Sales Order","idx","76","contact_person","Int",""
"","""Sales Order-more_info-idx""","DocField","Sales Order","idx","88","more_info","Int",""
"","""Sales Order-project_name-idx""","DocField","Sales Order","idx","89","project_name","Int",""
"","""Sales Order-campaign-idx""","DocField","Sales Order","idx","90","campaign","Int",""
"","""Sales Order-source-idx""","DocField","Sales Order","idx","91","source","Int",""
"","""Sales Order-column_break4-idx""","DocField","Sales Order","idx","92","column_break4","Int",""
"","""Sales Order-letter_head-idx""","DocField","Sales Order","idx","93","letter_head","Int",""
"","""Sales Order-select_print_heading-idx""","DocField","Sales Order","idx","94","select_print_heading","Int",""
"","""Sales Order-fiscal_year-idx""","DocField","Sales Order","idx","95","fiscal_year","Int",""
"","""Sales Order-section_break_78-idx""","DocField","Sales Order","idx","96","section_break_78","Int",""
"","""Sales Order-status-idx""","DocField","Sales Order","idx","97","status","Int",""
"","""Sales Order-delivery_status-idx""","DocField","Sales Order","idx","98","delivery_status","Int",""
"","""Sales Order-per_delivered-idx""","DocField","Sales Order","idx","99","per_delivered","Int",""
"","""Sales Order-column_break_81-idx""","DocField","Sales Order","idx","100","column_break_81","Int",""
"","""Sales Order-per_billed-idx""","DocField","Sales Order","idx","101","per_billed","Int",""
"","""Sales Order-billing_status-idx""","DocField","Sales Order","idx","102","billing_status","Int",""
"","""Sales Order-sales_team_section_break-idx""","DocField","Sales Order","idx","103","sales_team_section_break","Int",""
"","""Sales Order-sales_partner-idx""","DocField","Sales Order","idx","104","sales_partner","Int",""
"","""Sales Order-column_break7-idx""","DocField","Sales Order","idx","105","column_break7","Int",""
"","""Sales Order-commission_rate-idx""","DocField","Sales Order","idx","106","commission_rate","Int",""
"","""Sales Order-total_commission-idx""","DocField","Sales Order","idx","107","total_commission","Int",""
"","""Sales Order-section_break1-idx""","DocField","Sales Order","idx","108","section_break1","Int",""
"","""Sales Order-sales_team-idx""","DocField","Sales Order","idx","109","sales_team","Int",""
"","""Sales Order-recurring_order-idx""","DocField","Sales Order","idx","110","recurring_order","Int",""
"","""Sales Order-column_break82-idx""","DocField","Sales Order","idx","111","column_break82","Int",""
"","""Sales Order-is_recurring-idx""","DocField","Sales Order","idx","112","is_recurring","Int",""
"","""Sales Order-recurring_type-idx""","DocField","Sales Order","idx","113","recurring_type","Int",""
"","""Sales Order-from_date-idx""","DocField","Sales Order","idx","114","from_date","Int",""
"","""Sales Order-to_date-idx""","DocField","Sales Order","idx","115","to_date","Int",""
"","""Sales Order-repeat_on_day_of_month-idx""","DocField","Sales Order","idx","116","repeat_on_day_of_month","Int",""
"","""Sales Order-end_date-idx""","DocField","Sales Order","idx","117","end_date","Int",""
"","""Sales Order-column_break83-idx""","DocField","Sales Order","idx","118","column_break83","Int",""
"","""Sales Order-next_date-idx""","DocField","Sales Order","idx","119","next_date","Int",""
"","""Sales Order-recurring_id-idx""","DocField","Sales Order","idx","120","recurring_id","Int",""
"","""Sales Order-notification_email_address-idx""","DocField","Sales Order","idx","121","notification_email_address","Int",""
"","""Sales Order-column_break_33a-idx""","DocField","Sales Order","idx","122","column_break_33a","Int",""
"","""Sales Order-column_break_33-idx""","DocField","Sales Order","idx","123","column_break_33","Int",""
"","""Sales Order-section_break_31-depends_on""","DocField","Sales Order","depends_on","eval:doc.is_sample_order == ""1""","section_break_31","Data",""
"","""Sales Order-column_break_38-label""","DocField","Sales Order","label","eval:doc.is_sample_order == ""1""","column_break_38","Data",""
